REV,attacker_blocks,total_blocks,fork_rate,orphan_blocks,delay_usage_freq,delay_cost,mean_reward,epsilon,mode,alpha,delay_intensity,target_fraction
0.016666666666666666,10,600,0.0,563,0.041666666666666664,226326.6141334627,0.043833333333333335,0.05,no_cost,0.05,0,0.0
0.045,27,600,0.0,572,0.056666666666666664,269317.5949088858,0.04393939393939394,0.05,no_cost,0.05,0,0.0
0.006666666666666667,4,600,0.0,567,0.04,228348.2420512091,0.04416666666666667,0.05,no_cost,0.05,0,0.0
0.06,36,600,0.0,563,0.03333333333333333,186653.23596335956,0.045384615384615384,0.05,no_cost,0.05,0,0.0
0.0,0,600,0.0,564,0.055,283280.28982206463,0.04511904761904762,0.05,no_cost,0.05,0,0.0
0.03333333333333333,20,600,0.0,567,0.051666666666666666,245262.36793015047,0.04533333333333334,0.05,no_cost,0.05,0,0.0
0.0,0,600,0.0,567,0.058333333333333334,205025.45404454,0.045208333333333336,0.05,no_cost,0.05,0,0.0
0.005,3,600,0.0,562,0.03333333333333333,306594.55300851195,0.045,0.05,no_cost,0.05,0,0.0
0.041666666666666664,25,600,0.0,564,0.045,227778.5777634484,0.04546296296296296,0.05,no_cost,0.05,0,0.0
0.028333333333333332,17,600,0.0,478,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.018333333333333333,11,600,0.0,482,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.015,9,600,0.0,460,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.015,9,600,0.0,475,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.005,3,600,0.0,473,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.016666666666666666,10,600,0.0,455,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.0,0,600,0.0,465,0.0,0.0,0.0,0.0,A,0.05,0,0.5
0.021666666666666667,13,600,0.0,483,0.0,0.0,0.0,0.0,A,0.05,0,0.5
