metric,mean,std,mode,alpha,delay_intensity,target_fraction,runs,run_mode,training_mean_reward,training_reward_history
total_blocks,600.0,0.0,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
fork_rate,0.0,0.0,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
orphan_blocks,568.6,1.6465452046971294,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
delay_usage_freq,0.45133333333333336,0.24589569202819453,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
delay_cost,237539.5866499574,36108.66613949006,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
mean_reward,-0.3109824610482308,0.011977072860100538,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
epsilon,0.05,0.0,no_targeting,0.05,0,0.0,10,no_targeting,-0.2779461232811409,"[-0.3081058393164422, -0.27882018345802057, -0.26798959851878196, -0.2730020932905947, -0.2727118443597491, -0.2756720523288248, -0.27442326486634877, -0.2728441101103649]"
REV,0.026833333333333338,0.02458859014730407,no_rl,0.05,0,0.0,10,no_rl,,
attacker_blocks,16.1,14.753154088382441,no_rl,0.05,0,0.0,10,no_rl,,
total_blocks,600.0,0.0,no_rl,0.05,0,0.0,10,no_rl,,
fork_rate,0.0,0.0,no_rl,0.05,0,0.0,10,no_rl,,
orphan_blocks,566.0,3.681787005729087,no_rl,0.05,0,0.0,10,no_rl,,
delay_usage_freq,0.0,0.0,no_rl,0.05,0,0.0,10,no_rl,,
delay_cost,240918.75206101028,42749.168068492676,no_rl,0.05,0,0.0,10,no_rl,,
mean_reward,0.0,0.0,no_rl,0.05,0,0.0,10,no_rl,,
epsilon,0.0,0.0,no_rl,0.05,0,0.0,10,no_rl,,
REV,0.022166666666666664,0.021301046169172878,no_cost,0.05,0,0.0,10,no_cost,0.03357688492063492,"[0.018333333333333333, 0.028333333333333332, 0.03166666666666667, 0.030833333333333334, 0.034666666666666665, 0.03972222222222222, 0.04214285714285714, 0.042916666666666665]"
