metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
fork_rate,0.0,0.0,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
orphan_blocks,472.2,11.562871615649808,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
delay_usage_freq,0.0,0.0,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
delay_cost,0.0,0.0,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
mean_reward,0.0,0.0,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
epsilon,0.0,0.0,A,0.2,0,0.0,30,False,0.0,0.0,5,A,,
REV,0.14966666666666667,0.012156388352540319,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
attacker_blocks,89.8,7.293833011524188,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
total_blocks,600.0,0.0,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
fork_rate,0.0,0.0,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
orphan_blocks,509.2,7.293833011524187,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
delay_usage_freq,0.7443333333333333,0.10537367370985559,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
delay_cost,199837.37893590913,41554.04233060969,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
mean_reward,-0.1625424195153708,0.003625285457321742,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
epsilon,0.05,0.0,C,0.2,0,0.0,30,False,0.0,0.0,5,C,-0.1655160789365042,"[-0.14786374470473906, -0.17924072051626658, -0.17194609674717332, -0.16457098724878283, -0.16135039942809215, -0.16660893703729296, -0.1650455783902869, -0.1675021674193997]"
REV,0.16133333333333333,0.05497979426823803,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
attacker_blocks,96.8,32.98787656094281,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
total_blocks,600.0,0.0,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
fork_rate,0.0,0.0,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
orphan_blocks,477.2,4.438468204234429,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
delay_usage_freq,0.0,0.0,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
delay_cost,0.0,0.0,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
mean_reward,0.0,0.0,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
epsilon,0.0,0.0,A,0.2,1000,0.0,30,False,0.0,0.0,5,A,,
REV,0.148,0.036159369463529094,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
attacker_blocks,88.8,21.695621678117455,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
total_blocks,600.0,0.0,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
fork_rate,0.0,0.0,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
orphan_blocks,510.2,21.695621678117455,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
delay_usage_freq,0.7103333333333334,0.12643839079435754,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
delay_cost,320775.39560837584,140655.5859334872,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
mean_reward,-0.4701676265742275,0.014131848217665957,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
epsilon,0.05,0.0,C,0.2,1000,0.0,30,False,0.0,0.0,5,C,-0.6800305033910181,"[-0.9469216986826409, -0.7996950447022907, -0.6993332399218073, -0.6695450751278471, -0.6334454490249646, -0.5962084166907157, -0.5626417410768229, -0.5324533619010555]"
REV,0.5033333333333333,0.016029486718059458,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
attacker_blocks,302.0,9.617692030835672,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
total_blocks,600.0,0.0,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
fork_rate,0.0,0.0,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
orphan_blocks,297.0,9.617692030835672,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
delay_usage_freq,0.0,0.0,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
delay_cost,0.0,0.0,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
mean_reward,0.0,0.0,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
epsilon,0.0,0.0,A,0.5,0,0.0,30,False,0.0,0.0,5,A,,
REV,0.3543333333333333,0.02673428925971703,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
attacker_blocks,212.6,16.04057355583023,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
total_blocks,600.0,0.0,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
fork_rate,0.0,0.0,C,0.5,0,0.0,30,False,0.0,0.0,5,C,0.24466088573608705,"[0.20543526252114988, 0.24038130210310407, 0.24581981880488585, 0.2354253517895278, 0.24629331192590065, 0.256674441666311, 0.26283198584092143, 0.2644256112368955]"
