metric,mean,std,mode,alpha,delay_intensity,target_fraction,n_nodes,asymmetric_delay,partition_prob,propagation_variance,runs,run_mode,training_mean_reward,training_reward_history
delay_usage_freq,0.0,0.0,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
delay_cost,0.0,0.0,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
mean_reward,0.0,0.0,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
epsilon,0.0,0.0,A,0.05,1000,0.0,100,True,0.2,0.5,5,A,,
REV,0.023666666666666666,0.009675283515799996,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
attacker_blocks,14.2,5.805170109479997,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
total_blocks,600.0,0.0,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
fork_rate,0.0,0.0,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
orphan_blocks,581.0,2.8284271247461903,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
delay_usage_freq,0.19366666666666665,0.15105830368142995,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
delay_cost,910485.0282866238,109125.29048265025,C,0.05,1000,0.0,100,True,0.2,0.5,5,C,-2.270150774718588,"[-3.145553438797117, -2.704527272511757, -2.3402340354615716, -2.181250980559077, -2.063502445030946, -1.9699767378719737, -1.9035428545089594, -1.8526184330073059]"
